ID,Name,Visit,Date,Taste,Portion,Presentation,Service,Atmosphere,Location,Facilities,Cleanliness,Cost,Overall,Rank
1,"The Plough, Upper Dicker",1,May-17,15,8,10,3,3,4,2,5
2,"The Beachy Head, Eastbourne",1,May-17,14,6,12,6,8,9,9,9
3,"Sussex Ox, Milton Street",1,Dec-17,9,8,11,6,3,8,7,8
4,"Lamb Inn, Hooe",1,Jan-18,18,5,18,9,9,5,7,8
5,"Smugglers Inn, Pevensey",1,Feb-18,11,7,7,3,2,7,2,3
6,"Ye Olde Pumphouse, Hastings",1,Mar-18,4,8,5,4,3,7,6,3
7,"The Pilot Inn, Eastbourne",1,Mar-18,12,6,13,2,1,9,7,7
8,"The Ship Inn, Eastbourne",1,Apr-18,13,8,15,8,8,6,5,7
9,"The Tiger Inn, East Dean",1,May-18,8,5,4,6,6,9,8,3
10,"Eight Bells, Jevington",1,Jun-18,12,9,11,6,7,9,8,5
11,"Berwick Inn, Berwick",1,Jul-18,12,6,18,9,9,8,7,5
12,"Lamb Inn, Hooe",2,Aug-18,14,7,15,7,7,5,7,8
13,"The Gun, Gun Hill",1,Sep-18,19,9,19,6,5,10,9,9
14,"The Yew Tree, Chalvington",1,Oct-18,14,5,15,6,6,10,3,2
15,"Wheatsheaf Inn, Willingdon",1,Dec-18,13,7,15,7,7,7,2,4
16,"The Giants Rest, Wilmington",1,Jan-19,7,5,10,7,7,7,2,4
17,"Plough and Harrow, Litlington",1,Feb-19,16,10,16,10,8,9,7,9
18,"The Cricketers Arms, Berwick",1,Mar-19,7,7,12,3,6,9,4,4
19,"Ye Olde Smugglers Inn, Alfriston",1,Apr-19,19,8,18,6,8,8,7,9
20,"The Old Oak Inn, Caneheath",1,May-19,14,7,12,3,6,10,7,5
21,"The Six Bells, Chiddingly",1,Jun-19,13,5,17,5,8,10,3,8
22,"Counting House, Eastbourne",1,Jul-19,14,7,18,5,7,4,3,6
23,"The Yew Tree Inn, Arlington",1,Aug-19,15,10,15,4,6,9,6,6
24,"Roebuck Inn, Laughton",1,Sep-19,7,6,11,6,4,5,4,8
25,"The Red Lion, Willingdon",1,Nov-19,8,6,16,6,4,8,4,8
26,"Beachy Head Pub, Eastbourne",2,Dec-19,17,6,16,8,4,9,9,9
27,"The Dolphin, Eastbourne",1,Feb-20,16,8,16,9,8,6,3,9
28,"The Cuckmere Inn, Exceat",1,Aug-20,15,7,15,7,7,10,8,8
29,"Eight Bells, Jevington",2,Apr-21,13,7,16,7,5,9,7,8
30,"Royal Oak & Castle, Pevensey",1,May-21,3,3,3,1,1,8,3,2
31,"Friday Street Farm, Eastbourne",1,Jul-21,12,7,10,9,9,4,6,7
32,"The Cuckmere Inn, Exceat",2,Aug-21,13,7,15,4,4,10,3,3
33,"The Red Lion, Hooe",1,Oct-21,7,6,10,5,6,6,4,8
34,"The Star, Alfriston",1,Dec-21,17,8,19,4,6,8,8,8
35,"The Rainbow (re:23), Eastbourne*",2,Feb-22,16,8,15,9,6,6,6,7
36,"The Stage Door, Eastbourne ",1,Apr-22,16,9,13,6,8,8,8,5
37,"The Marina Fountain, Hastings",1,May-22,14,6,11,8,6,8,6,7
38,"Rose & Crown, Cuckfield",1,Aug-22,11,6,8,6,6,7,8,6
39,"Castle Inn, Pevensey Bay",1,Nov-22,15,7,12,6,3,4,6,8
40,"Blacksmiths Inn, Ninfield",1,Dec-22,15,9,14,9,7,6,6,7
41,"Bo Peep, St Leonards",1,Jan-23,12,10,14,7,8,7,6,8
42,"Eight Bells, Jevington",3,Jan-23,15,8,14,10,6,8,6,7
43,"The New Inn, Westfield",1,Feb-23,15,10,17,6,6,8,5,3
44,"Ash Tree Inn, Ashburnham",1,Mar-23,10,8,9,8,7,9,7,9
45,"The Bull Inn, Bulverhythe",1,Apr-23,9,5,8,4,6,2,8,8
46,"The Bulls Head, Boreham Street",1,May-23,3,6,7,2,5,6,4,3
47,"Black Horse, Telham",1,Jun-23,11,8,11,7,5,7,5,7
48,"The Bull Inn, Battle",1,Jul-23,15,9,16,10,9,10,5,8
49,"Hollington Oak, St Leonards",1,Sep-23,14,8,15,8,5,5,8,9
50,"The Merrie Harriers, Cowbeech",1,Sep-23,7,4,7,6,2,7,6,6
51,"Swan Inn, Dallington",1,Oct-23,15,8,12,7,5,8,4,6
52,"Wheatsheaf Inn, Bexhill",1,Nov-23,17,8,18,8,7,6,8,2
53,"Lamb Inn, Hooe",3,Nov-23,14,7,16,4,6,8,8,8
54,"The Red Lion, Stone Cross",1,Dec-23,7,8,12,7,3,4,4,5
55,"Argyle Arms, Oxford Circus",1,Dec-23,17,8,15,5,4,10,8,8
56,"Friday Street Farm, Eastbourne",2,Jan-24,7,6,8,6,5,4,8,7
57,"The Wheel Inn, Burwash",1,Jan-24,14,8,6,6,8,7,8,7
58,"The Squirrel Inn, Battle",1,Feb-24,18,9,16,10,6,6,8,9
59,"The Dickens Inn, London",1,Feb-24,15,8,16,6,4,9,3,3
60,"The Crown, Hastings",1,Mar-24,17,8,18,6,6,7,6,6
61,"Queens Head, Sedlescombe",1,Jun-24,16,10,19,5,6,9,10,8
62,"The Harrow Inn, Hastings",1,Jul-24,14,7,13,4,3,6,6,5
63,"The Ram Inn, Firle",1,Jul-24,8,8,16,6,8,10,4,7
