ID,Name,Visit #,Date,"Taste 
(20)","Portion 
(10)","Presentation
(20)","Service 
(10)","Atmosphere
(10)","Location
(10)","Facilities
(10)","Cleanliness 
(10)",Cost,"Overall 
(100)",Rank,,Key,,,Statistics,,,
1,"The Plough, Upper Dicker",1,May-17,15,8,10,3,3,4,2,5,£££,50,68,,COST GUIDE,(Main + Drink),,No. of establistments visited:,,,75
2,"The Beachy Head, Eastbourne",1,May-17,14,6,12,6,8,9,9,9,£££,73,21,,£,£0 - £10,,No. of total visits:,,,86
3,"Sussex Ox, Milton Street",1,Dec-17,9,8,11,6,3,8,7,8,£££,60,56,,££,£11 - £15,,,,,
4,"Lamb Inn, Hooe",1,Jan-18,18,5,18,9,9,5,7,8,££££,79,8,,£££,£16 - £20,,No. of Platinum Visits:,,,11
5,"Smugglers Inn, Pevensey",1,Feb-18,11,7,7,3,2,7,2,3,££,42,77,,££££,£21 - £25,,No. of Gold Visits,,,57
6,"Ye Olde Pumphouse, Hastings",1,Mar-18,4,8,5,4,3,7,6,3,£,40,79,,£££££,£26+,,No. of Silver Visits,,,17
7,"The Pilot Inn, Eastbourne",1,Mar-18,12,6,13,2,1,9,7,7,££££,57,62,,,,,No. of Bronze Visits,,,1
8,"The Ship Inn, Eastbourne",1,Apr-18,13,8,15,8,8,6,5,7,£££,70,31,,RANK WORTH,,,,,,
9,"The Tiger Inn, East Dean",1,May-18,8,5,4,6,6,9,8,3,£££,49,72,,Platinum,76-100,,VISITS BY YEAR,,,
10,"Eight Bells, Jevington",1,Jun-18,12,9,11,6,7,9,8,5,£££,67,37,,Gold,51-75,,2017,,,3
11,"Berwick Inn, Berwick",1,Jul-18,12,6,18,9,9,8,7,5,££££,74,14,,Silver,26-50,,2018,,,12
12,"Lamb Inn, Hooe",2,Aug-18,14,7,15,7,7,5,7,8,££££,70,31,,Bronze,0-25,,2019,,,11
13,"The Gun, Gun Hill",1,Sep-18,19,9,19,6,5,10,9,9,££££,86,1,,,,,2020,,,2
14,"The Yew Tree, Chalvington",1,Oct-18,14,5,15,6,6,10,3,2,££,61,51,,,,,2021,,,6
15,"Wheatsheaf Inn, Willingdon",1,Dec-18,13,7,15,7,7,7,2,4,££££,62,50,,,,,2022,,,6
16,"The Giants Rest, Wilmington",1,Jan-19,7,5,10,7,7,7,2,4,£££,49,72,,,,,2023,,,15
17,"Plough and Harrow, Litlington",1,Feb-19,16,10,16,10,8,9,7,9,££££,85,2,,,,,2024,,,12
